Time quotient is: 1.2658842563629151| input type: 1| time:76
Time quotient is: 0.19519585371017456| input type: 4| time:155
Time quotient is: 1.4350822097376774| input type: 3| time:232
Time quotient is: 1.6590849781036376| input type: 4| time:317
Time quotient is: 1.5293771467710797| input type: 3| time:381
Time quotient is: 0.21305740714073182| input type: 4| time:459
Time quotient is: 0.7179051146787756| input type: 2| time:519
Time quotient is: 0.42819861498746004| input type: 1| time:577
Time quotient is: 1.7074267768859863| input type: 4| time:655
Time quotient is: 0.19029652711116907| input type: 3| time:721
Time quotient is: 0.625390978420482| input type: 2| time:778
Time quotient is: 0.21570601972561437| input type: 2| time:835
Time quotient is: 1.27451278368632| input type: 1| time:889
Time quotient is: 0.21242720409504418| input type: 2| time:945
Time quotient is: 0.16887769508361816| input type: 2| time:1001
Time quotient is: 0.1867269212549383| input type: 1| time:1072
Time quotient is: 0.1751927626132965| input type: 4| time:1142
Time quotient is: 0.7367691362605375| input type: 2| time:1218
Time quotient is: 0.2031759178638458| input type: 4| time:1293
Time quotient is: 0.36847075601903406| input type: 3| time:1358
Time quotient is: 0.18077871149236505| input type: 3| time:1423
Time quotient is: 0.7244342594611936| input type: 3| time:1487
Time quotient is: 0.413788704438643| input type: 1| time:1545
Time quotient is: 1.501203473409017| input type: 1| time:1602
Time quotient is: 0.21080302729189976| input type: 2| time:1659
Time quotient is: 0.21959948820226333| input type: 1| time:1713
Time quotient is: 0.16726800600687664| input type: 3| time:1775
Time quotient is: 0.1660657940488873| input type: 3| time:1837
Time quotient is: 0.23388353983561197| input type: 3| time:1899
Time quotient is: 1.409232250849406| input type: 1| time:1955
Time quotient is: 0.3443158149719238| input type: 1| time:2009
Time quotient is: 0.3397045426252412| input type: 3| time:2073
Time quotient is: 0.18591857671737672| input type: 4| time:2145
Time quotient is: 0.21001511454582214| input type: 4| time:2222
Time quotient is: 0.6328831700717702| input type: 2| time:2279
Time quotient is: 0.19650187969207764| input type: 4| time:2354
Time quotient is: 0.23926513896268956| input type: 1| time:2410
Time quotient is: 0.7021298320205124| input type: 4| time:2483
Time quotient is: 0.22144953783820656| input type: 1| time:2537
Time quotient is: 0.21660480684447056| input type: 2| time:2594
Time quotient is: 0.16095927411859687| input type: 3| time:2656
Time quotient is: 0.17164594260129062| input type: 1| time:2710
Time quotient is: 0.16779230880737306| input type: 2| time:2766
Time quotient is: 0.6453412560855641| input type: 2| time:2823
Time quotient is: 0.38122960866666306| input type: 4| time:2898
Time quotient is: 0.33583564002339433| input type: 3| time:2960
Time quotient is: 1.3695869445800781| input type: 2| time:3019
Time quotient is: 0.19333317713304| input type: 1| time:3075
Time quotient is: 0.1743809786709872| input type: 1| time:3129
Time quotient is: 0.17102324745871805| input type: 1| time:3183
Time quotient is: 0.6559339034848097| input type: 3| time:3245
Time quotient is: 0.3096553242724875| input type: 2| time:3302
Time quotient is: 0.1914179229736328| input type: 4| time:3375
Time quotient is: 0.17279410362243652| input type: 1| time:3430
Time quotient is: 1.3848045667012532| input type: 1| time:3486
Time quotient is: 0.32901775546190215| input type: 3| time:3548
Time quotient is: 0.2676094685282026| input type: 4| time:3621
Time quotient is: 1.3942815780639648| input type: 1| time:3677
Time quotient is: 0.14917867544925575| input type: 3| time:3737
Time quotient is: 0.18434839725494384| input type: 4| time:3809
Time quotient is: 0.2609688394209918| input type: 1| time:3866
Time quotient is: 0.27547574879830344| input type: 3| time:3932
Time quotient is: 0.1838952808380127| input type: 2| time:3995
Time quotient is: 0.22006331410324365| input type: 3| time:4055
Time quotient is: 1.434325280942415| input type: 3| time:4117
Time quotient is: 0.18089812163150673| input type: 3| time:4182
Time quotient is: 0.15805014552492083| input type: 3| time:4243
Time quotient is: 0.22159243496981534| input type: 1| time:4302
Time quotient is: 0.2074967098236084| input type: 2| time:4363
Time quotient is: 1.6592165419929905| input type: 3| time:4430
Time quotient is: 1.4543503761291503| input type: 1| time:4495
Time quotient is: 0.7522856607669737| input type: 3| time:4566
Time quotient is: 0.1751444683074951| input type: 2| time:4623
Time quotient is: 0.1764791259765625| input type: 2| time:4680
Time quotient is: 0.6672840583615187| input type: 3| time:4743
Time quotient is: 1.589522771835327| input type: 4| time:4817
Time quotient is: 0.19577584266662598| input type: 4| time:4907
Time quotient is: 0.27785848208836145| input type: 4| time:4981
Time quotient is: 0.7842461356410274| input type: 4| time:5058
Time quotient is: 0.7314385837978787| input type: 1| time:5113
Time quotient is: 0.2088710173819829| input type: 2| time:5170
Time quotient is: 0.7150675985548232| input type: 4| time:5244
Time quotient is: 0.1640575813524651| input type: 3| time:5306
Time quotient is: 0.3123151081195776| input type: 2| time:5362
Time quotient is: 0.18714052200317383| input type: 4| time:5434
Time quotient is: 0.17843456983566283| input type: 4| time:5505
Time quotient is: 0.17524327087402344| input type: 2| time:5562
Time quotient is: 0.2816154633249555| input type: 4| time:5637
Time quotient is: 0.2792043958391462| input type: 4| time:5711
Time quotient is: 0.18901870608329774| input type: 4| time:5784
Time quotient is: 0.20053460121154784| input type: 4| time:5859
Time quotient is: 0.33441203978003525| input type: 3| time:5921
Time quotient is: 1.313396406173706| input type: 1| time:5976
Time quotient is: 0.16593231576861758| input type: 3| time:6038
Time quotient is: 1.4396945175371672| input type: 3| time:6101
Time quotient is: 0.6522994672550875| input type: 2| time:6160
Time quotient is: 1.3003902154810287| input type: 2| time:6217
Time quotient is: 0.23667199394919655| input type: 1| time:6279
Time quotient is: 0.33539608920492775| input type: 3| time:6341
Time quotient is: 0.20318588614463806| input type: 4| time:6417
Time quotient is: 0.1962973177433014| input type: 4| time:6492
Time quotient is: 0.21532514951761486| input type: 2| time:6549
Time quotient is: 0.17255290412902832| input type: 2| time:6606
Time quotient is: 0.2300999997888954| input type: 2| time:6664
Time quotient is: 19.626627457769292| input type: 3| time:7106
Time quotient is: 0.23498661938835594| input type: 1| time:7160
Time quotient is: 1.4464683055877685| input type: 4| time:7232
Time quotient is: 1.3577671612010282| input type: 2| time:7290
Time quotient is: 1.3309250831604005| input type: 1| time:7345
Time quotient is: 0.20889047384262086| input type: 4| time:7424
Time quotient is: 0.17493930244445802| input type: 2| time:7481
Time quotient is: 0.17547435327009722| input type: 1| time:7535
Time quotient is: 1.369206152464214| input type: 3| time:7596
Time quotient is: 0.5829515387030209| input type: 2| time:7651
Time quotient is: 0.6503881706910974| input type: 2| time:7708
Time quotient is: 0.3492040677504106| input type: 1| time:7762
Time quotient is: 0.17105259895324706| input type: 1| time:7816
Time quotient is: 0.24728323151083553| input type: 1| time:7872
Time quotient is: 0.17521189126101408| input type: 1| time:7926
Time quotient is: 0.189337317943573| input type: 4| time:7999
Time quotient is: 0.26084629485481664| input type: 3| time:8064
Time quotient is: 0.3495770497755571| input type: 1| time:8118
Time quotient is: 0.19336534023284913| input type: 4| time:8193
Time quotient is: 0.3701077325671327| input type: 4| time:8266
Time quotient is: 0.15800129428054346| input type: 3| time:8327
Time quotient is: 0.26738209554127285| input type: 4| time:8399
Time quotient is: 0.2649286491530282| input type: 4| time:8471
Time quotient is: 1.391582074918245| input type: 3| time:8533
Time quotient is: 0.2045126414299011| input type: 4| time:8608
Time quotient is: 0.6862897961227982| input type: 4| time:8680
Time quotient is: 0.21262772083282472| input type: 4| time:8757
Time quotient is: 0.28779603305615875| input type: 3| time:8825
Time quotient is: 0.20544366121292115| input type: 4| time:8901
Time quotient is: 0.39481589270801076| input type: 3| time:8968
Time quotient is: 0.24477543645692104| input type: 2| time:9028
Time quotient is: 0.44546813357110115| input type: 4| time:9108
Time quotient is: 1.5143847783406577| input type: 1| time:9165
Time quotient is: 1.5560604964985567| input type: 2| time:9226
Time quotient is: 0.22982220077514648| input type: 2| time:9289
Time quotient is: 0.20623174580660733| input type: 1| time:9346
Time quotient is: 0.20644992256164552| input type: 2| time:9407
