Reward is: -6| input type: 2| time:91
Reward is: 7.464281061116386| input type: 2| time:147
Reward is: 7.025904487161076| input type: 2| time:205
Reward is: 7.17897727208979| input type: 2| time:264
Reward is: -5.198838458341711| input type: 2| time:340
Reward is: -5.296429641106549| input type: 2| time:418
Reward is: -5.256391209714553| input type: 2| time:496
Reward is: -5.262702731525197| input type: 2| time:573
Reward is: 6.003456195663004| input type: 2| time:634
Reward is: 5.908139028268701| input type: 2| time:691
Reward is: 6.01211323036867| input type: 2| time:750
Reward is: 6.189341463762171| input type: 2| time:810
Reward is: 5.606301913541905| input type: 2| time:870
Reward is: -5.223573628593893| input type: 2| time:946
Reward is: -5.1713855476940385| input type: 2| time:1020
Reward is: -5.210283412652857| input type: 2| time:1095
Reward is: -5.264215462348041| input type: 2| time:1188
Reward is: -2| input type: 2| time:1204
Reward is: -5.201893336632672| input type: 2| time:1268
Reward is: -5.195886738160077| input type: 2| time:1343
Reward is: -5.302907018100514| input type: 2| time:1422
Reward is: -5.219146749552559| input type: 2| time:1497
Reward is: -5.2172918179455925| input type: 2| time:1573
Reward is: -2| input type: 2| time:1589
Reward is: 6.973748733015621| input type: 2| time:1634
Reward is: 7.4708219906863045| input type: 2| time:1691
Reward is: 7.532766882111044| input type: 2| time:1749
Reward is: 8.910916125073152| input type: 2| time:1805
Reward is: 9.039316478897543| input type: 2| time:1863
Reward is: 8.90894035732045| input type: 2| time:1919
Reward is: 7.448353409767151| input type: 2| time:1976
Reward is: 7.513733527239632| input type: 2| time:2033
Reward is: 7.566627656712251| input type: 2| time:2091
Reward is: 7.54067325592041| input type: 2| time:2149
Reward is: 7.566554826848647| input type: 2| time:2207
Reward is: -5.215255197356729| input type: 2| time:2282
Reward is: -5.200683797107024| input type: 2| time:2358
Reward is: -5.175089548615849| input type: 2| time:2432
Reward is: -5.203073389389935| input type: 2| time:2508
Reward is: 7.303389654440038| input type: 2| time:2568
Reward is: 7.682594720055075| input type: 2| time:2627
Reward is: -5.301975327379563| input type: 2| time:2706
Reward is: -5.262949361520655| input type: 2| time:2783
Reward is: 9.035809390685138| input type: 2| time:2841
Reward is: 8.916836591327892| input type: 2| time:2897
Reward is: 8.970611242687001| input type: 2| time:2954
Reward is: 9.000358749838437| input type: 2| time:3011
Reward is: 8.996225686634288| input type: 2| time:3068
Reward is: 9.049863135113435| input type: 2| time:3126
Reward is: 9.022600279134863| input type: 2| time:3183
Reward is: 8.983225261463838| input type: 2| time:3240
Reward is: 7.417433271688574| input type: 2| time:3298
Reward is: 7.426006011401906| input type: 2| time:3355
Reward is: 7.3578624613144825| input type: 2| time:3412
Reward is: 7.389318861680873| input type: 2| time:3469
Reward is: 7.479112003831303| input type: 2| time:3527
Reward is: 7.579362815969131| input type: 2| time:3586
Reward is: 7.449009813981898| input type: 2| time:3644
Reward is: 7.305770869816051| input type: 2| time:3700
Reward is: 5.973503052487093| input type: 2| time:3758
Reward is: 7.468899245823131| input type: 2| time:3816
Reward is: 7.419695856991936| input type: 2| time:3874
Reward is: 7.436603682181415| input type: 2| time:3932
Reward is: 5.818006034458385| input type: 2| time:3988
Reward is: 5.9964929286171404| input type: 2| time:4047
Reward is: 5.959630478129667| input type: 2| time:4105
Reward is: 5.945083859387566| input type: 2| time:4163
Reward is: 5.919293273196501| input type: 2| time:4220
Reward is: 5.978963798635146| input type: 2| time:4278
Reward is: 5.9818878272000475| input type: 2| time:4337
Reward is: 5.978566368888407| input type: 2| time:4394
Reward is: 6.041013559173136| input type: 2| time:4453
Reward is: 5.887957582754247| input type: 2| time:4510
Reward is: 5.890272739354302| input type: 2| time:4568
Reward is: 5.871290251787971| input type: 2| time:4625
Reward is: 5.930764986486995| input type: 2| time:4682
Reward is: 5.969529680644765| input type: 2| time:4740
Reward is: 5.868258240643669| input type: 2| time:4797
Reward is: 6.0546651615816| input type: 2| time:4856
Reward is: 5.928586801360636| input type: 2| time:4913
Reward is: 5.9804690543343035| input type: 2| time:4972
Reward is: 6.0114209469626925| input type: 2| time:5030
Reward is: 5.91304115968592| input type: 2| time:5087
Reward is: 5.955370646364548| input type: 2| time:5145
Reward is: 7.5228957428651695| input type: 2| time:5202
Reward is: 7.582726401441238| input type: 2| time:5260
Reward is: 7.623126948581023| input type: 2| time:5319
Reward is: 7.548521441571853| input type: 2| time:5376
Reward is: 7.4812305183971635| input type: 2| time:5433
Reward is: 7.500247275128084| input type: 2| time:5490
Reward is: 7.465957830933964| input type: 2| time:5547
Reward is: 7.535989550983205| input type: 2| time:5604
Reward is: 7.5673037627164055| input type: 2| time:5662
Reward is: 7.497027214835672| input type: 2| time:5719
Reward is: 7.491986113436082| input type: 2| time:5776
Reward is: 7.667087365599239| input type: 2| time:5836
Reward is: 7.670390037929311| input type: 2| time:5895
Reward is: 7.563727273660548| input type: 2| time:5953
Reward is: 7.611141092637006| input type: 2| time:6011
Reward is: 7.495040570988374| input type: 2| time:6069
Reward is: 7.64005379115834| input type: 2| time:6127
Reward is: 7.584117510739494| input type: 2| time:6185
Reward is: 7.555580216295579| input type: 2| time:6243
Reward is: 7.593730547848869| input type: 2| time:6302
Reward is: 7.578019871431239| input type: 2| time:6360
Reward is: 7.798768471269047| input type: 2| time:6420
Reward is: 7.479393994106966| input type: 2| time:6477
Reward is: 7.596523873946246| input type: 2| time:6535
Reward is: 7.623793314484989| input type: 2| time:6594
Reward is: 7.568852606941672| input type: 2| time:6652
Reward is: 7.595658624873442| input type: 2| time:6710
Reward is: 7.507887847283307| input type: 2| time:6768
Reward is: 7.5116594538969155| input type: 2| time:6825
Reward is: 7.5334752587711105| input type: 2| time:6883
Reward is: 7.657314552980311| input type: 2| time:6942
Reward is: 7.512338505071752| input type: 2| time:6999
Reward is: 7.588580159580006| input type: 2| time:7058
Reward is: 7.642875096377205| input type: 2| time:7117
Reward is: 7.547377936980304| input type: 2| time:7174
Reward is: 7.562869240255917| input type: 2| time:7232
Reward is: 7.525336532031789| input type: 2| time:7289
Reward is: 7.476045524372774| input type: 2| time:7346
Reward is: 7.550007721957039| input type: 2| time:7404
Reward is: 7.470841555034413| input type: 2| time:7461
Reward is: 7.503430331454558| input type: 2| time:7518
Reward is: 7.494767574702992| input type: 2| time:7575
Reward is: 7.445816250408397| input type: 2| time:7631
Reward is: 7.51320316511042| input type: 2| time:7688
Reward is: 7.442679854000316| input type: 2| time:7745
Reward is: 7.555706353748546| input type: 2| time:7803
Reward is: 7.469034335192513| input type: 2| time:7859
Reward is: 7.544549037428463| input type: 2| time:7917
Reward is: 7.549527617061839| input type: 2| time:7974
Reward is: 7.471603365505443| input type: 2| time:8031
Reward is: 7.5180684818941| input type: 2| time:8088
Reward is: 7.551681988379535| input type: 2| time:8146
Reward is: 7.534158243852503| input type: 2| time:8203
Reward is: 7.539719483431648| input type: 2| time:8260
Reward is: 7.544634468415204| input type: 2| time:8318
Reward is: 7.518172088791342| input type: 2| time:8375
Reward is: 7.534115033991196| input type: 2| time:8433
Reward is: 7.478349278954899| input type: 2| time:8490
Reward is: 7.619358749950633| input type: 2| time:8548
Reward is: 7.507307901101954| input type: 2| time:8605
Reward is: 7.5171350941938515| input type: 2| time:8663
Reward is: 7.573794519200044| input type: 2| time:8720
Reward is: 7.572033917202669| input type: 2| time:8778
Reward is: 7.606216683107264| input type: 2| time:8837
Reward is: 7.581762362928951| input type: 2| time:8895
Reward is: 7.540918841081507| input type: 2| time:8952
Reward is: 7.513164541300606| input type: 2| time:9009
Reward is: 7.482156606281505| input type: 2| time:9066
Reward is: 7.4822452138451965| input type: 2| time:9122
Reward is: 7.573277599671307| input type: 2| time:9180
Reward is: 7.571458514998941| input type: 2| time:9238
Reward is: 7.562417387962341| input type: 2| time:9296
Reward is: 7.654561470536625| input type: 2| time:9355
Reward is: 7.481163473690257| input type: 2| time:9412
Reward is: 7.605715372983147| input type: 2| time:9470
Reward is: 7.675299048423767| input type: 2| time:9529
Reward is: 7.554742588716395| input type: 2| time:9587
Reward is: 7.562880684347713| input type: 2| time:9645
