Time quotient is: 1.6228474299112956| input type: 2| time:81 |latency: 24.342711448669434
Time quotient is: 0.7941730926776754| input type: 2| time:139 |latency: 23.031019687652588
Time quotient is: 0.7964819053123737| input type: 2| time:197 |latency: 23.097975254058838
Time quotient is: 0.3594155229371169| input type: 2| time:242 |latency: 10.423050165176392
Time quotient is: 1.455083995029844| input type: 2| time:319 |latency: 42.19743585586548
Time quotient is: 1.5566661851159458| input type: 2| time:400 |latency: 45.14331936836243
Time quotient is: 1.5687257750280972| input type: 2| time:480 |latency: 45.49304747581482
Time quotient is: 1.522173552677549| input type: 2| time:559 |latency: 44.143033027648926
Time quotient is: 0.809268359480233| input type: 2| time:618 |latency: 23.468782424926758
Time quotient is: 1.14185592223858| input type: 2| time:686 |latency: 33.11382174491882
Time quotient is: 1.1409971220739956| input type: 2| time:754 |latency: 33.088916540145874
Time quotient is: 0.8614225223146635| input type: 2| time:814 |latency: 24.981253147125244
Time quotient is: 0.8411478914063553| input type: 2| time:873 |latency: 24.3932888507843
Time quotient is: 0.7877377312758873| input type: 2| time:932 |latency: 22.844394207000732
Time quotient is: 0.8113998297987313| input type: 2| time:990 |latency: 23.530595064163208
Time quotient is: 0.7709048780901678| input type: 2| time:1047 |latency: 22.356241464614868
Time quotient is: 0.8026576288815203| input type: 2| time:1106 |latency: 23.277071237564087
Time quotient is: 0.7956110855628704| input type: 2| time:1164 |latency: 23.072721481323242
Time quotient is: 0.8053343624904238| input type: 2| time:1222 |latency: 23.35469651222229
Time quotient is: 0.8338665304512813| input type: 2| time:1282 |latency: 24.182129383087158
Time quotient is: 1.4741377994931977| input type: 2| time:1360 |latency: 42.749996185302734
Time quotient is: 0.8403036183324354| input type: 2| time:1419 |latency: 24.368804931640625
Time quotient is: 0.8257701396942139| input type: 2| time:1478 |latency: 23.947334051132202
Time quotient is: 0.8088774434451399| input type: 2| time:1537 |latency: 23.457445859909058
Time quotient is: 0.7929478678210028| input type: 2| time:1595 |latency: 22.995488166809082
Time quotient is: 1.0976378013347756| input type: 2| time:1662 |latency: 31.831496238708496
Time quotient is: 0.8181380567879513| input type: 2| time:1720 |latency: 23.726003646850586
