Reward is: -5.038060072490147| input type: 2| time:93
Reward is: -5.0098144054412845| input type: 2| time:164
Reward is: -5.076054797853742| input type: 2| time:236
Reward is: 7.448783343178885| input type: 2| time:300
Reward is: -5.182520777838571| input type: 2| time:376
Reward is: 7.499480485916138| input type: 2| time:440
Reward is: 7.546235282080515| input type: 2| time:505
Reward is: 5.7716487135205945| input type: 2| time:568
Reward is: 5.801567132132394| input type: 2| time:625
Reward is: 5.722736610685076| input type: 2| time:681
Reward is: 7.320119162968227| input type: 2| time:737
Reward is: -2| input type: 2| time:754
Reward is: -5.032292018617903| input type: 2| time:813
Reward is: -5.071679387773786| input type: 2| time:885
Reward is: 7.427770444325038| input type: 2| time:942
Reward is: 7.4427918979099825| input type: 2| time:1000
Reward is: 7.386185373578753| input type: 2| time:1057
Reward is: 8.68701297215053| input type: 2| time:1112
Reward is: -5.055038738250732| input type: 2| time:1183
Reward is: -5.120160967963082| input type: 2| time:1258
Reward is: -5.1373972279684885| input type: 2| time:1348
Reward is: 7.788437495912825| input type: 2| time:1410
Reward is: 6.104074941362653| input type: 2| time:1471
Reward is: 5.481670188903809| input type: 2| time:1534
Reward is: 5.356250524520874| input type: 2| time:1594
Reward is: 7.66755496433803| input type: 2| time:1670
Reward is: -5.076942777633667| input type: 2| time:1742
Reward is: -5.051881374631609| input type: 2| time:1814
Reward is: -5.106128215789795| input type: 2| time:1888
Reward is: -5.166059977667672| input type: 2| time:1964
Reward is: -5.111579642977033| input type: 2| time:2037
Reward is: 5.6985202925545835| input type: 2| time:2099
Reward is: -5.09946881702968| input type: 2| time:2173
Reward is: -5.090903561455863| input type: 2| time:2245
Reward is: -5.130613722120012| input type: 2| time:2320
Reward is: -5.106862238475255| input type: 2| time:2394
Reward is: 5.602379826136998| input type: 2| time:2454
Reward is: 6.131345987319946| input type: 2| time:2515
Reward is: 6.115184926986695| input type: 2| time:2576
Reward is: -5.070196294784546| input type: 2| time:2649
Reward is: 7.218556697028024| input type: 2| time:2705
Reward is: 6.843648065839496| input type: 2| time:2774
Reward is: 7.125434160232544| input type: 2| time:2829
Reward is: 7.151782383237567| input type: 2| time:2885
Reward is: 7.225108705248152| input type: 2| time:2941
Reward is: 7.204698555810111| input type: 2| time:2997
Reward is: 7.23173166683742| input type: 2| time:3053
Reward is: 5.761110019683837| input type: 2| time:3109
Reward is: 5.872668947492327| input type: 2| time:3167
Reward is: 5.831044210706438| input type: 2| time:3225
Reward is: 7.120946911403111| input type: 2| time:3280
Reward is: 7.158324316569738| input type: 2| time:3335
Reward is: 7.295332329613823| input type: 2| time:3392
Reward is: 7.127557734080724| input type: 2| time:3448
Reward is: 7.1123362745557515| input type: 2| time:3502
Reward is: 7.093219225747244| input type: 2| time:3557
Reward is: 7.141665642602103| input type: 2| time:3613
Reward is: 7.137776163646153| input type: 2| time:3667
Reward is: 7.246416909354075| input type: 2| time:3724
Reward is: 6.189021818978446| input type: 2| time:3785
Reward is: 6.039867925643922| input type: 2| time:3845
Reward is: 6.038235998153686| input type: 2| time:3905
Reward is: 6.082640341350011| input type: 2| time:3966
Reward is: 6.154345852988107| input type: 2| time:4027
Reward is: 7.573422588620867| input type: 2| time:4086
Reward is: 7.698261976242065| input type: 2| time:4147
Reward is: 7.715213598523821| input type: 2| time:4207
Reward is: 7.659112841742379| input type: 2| time:4267
Reward is: 7.707845013482229| input type: 2| time:4328
Reward is: 7.7148062501634875| input type: 2| time:4389
Reward is: 7.697457558768136| input type: 2| time:4449
Reward is: 7.746079724175589| input type: 2| time:4510
Reward is: 7.693812492915562| input type: 2| time:4571
Reward is: 7.763302510125296| input type: 2| time:4633
Reward is: 7.694617707388742| input type: 2| time:4693
Reward is: 7.743080166407994| input type: 2| time:4754
Reward is: 7.775952768325806| input type: 2| time:4816
Reward is: 7.703577981676374| input type: 2| time:4877
Reward is: 7.756121649060931| input type: 2| time:4938
Reward is: 7.737177978243147| input type: 2| time:4998
Reward is: 7.718624407904489| input type: 2| time:5059
Reward is: 7.683134256090437| input type: 2| time:5118
Reward is: 7.6681442533220565| input type: 2| time:5178
