Time quotient is: 0.7607041474046379| input type: 2| time:79 | latency: 22.060420274734497
Time quotient is: 0.735375346808598| input type: 2| time:136 | latency: 21.32588505744934
Time quotient is: 0.724097884934524| input type: 2| time:192 | latency: 20.998838663101196
Time quotient is: 0.7384822861901645| input type: 2| time:248 | latency: 21.41598629951477
Time quotient is: 0.7120284869753081| input type: 2| time:304 | latency: 20.648826122283936
Time quotient is: 0.7268192521457014| input type: 2| time:360 | latency: 21.077758312225342
Time quotient is: 0.7708937792942442| input type: 2| time:417 | latency: 22.35591959953308
Time quotient is: 0.7649692749154979| input type: 2| time:474 | latency: 22.18410897254944
Time quotient is: 0.7708456762905779| input type: 2| time:531 | latency: 22.354524612426758
Time quotient is: 0.7247769257117962| input type: 2| time:587 | latency: 21.01853084564209
Time quotient is: 0.7539386995907488| input type: 2| time:643 | latency: 21.864222288131714
Time quotient is: 0.724161328940556| input type: 2| time:699 | latency: 21.000678539276123
Time quotient is: 0.7118251159273344| input type: 2| time:755 | latency: 20.6429283618927
Time quotient is: 0.7503503930979761| input type: 2| time:811 | latency: 21.76016139984131
Time quotient is: 0.7523405223057188| input type: 2| time:868 | latency: 21.817875146865845
Time quotient is: 0.7243766784667969| input type: 2| time:924 | latency: 21.00692367553711
Time quotient is: 0.7364670079329918| input type: 2| time:980 | latency: 21.357543230056763
Time quotient is: 0.7328982682063662| input type: 2| time:1037 | latency: 21.25404977798462
Time quotient is: 0.7266935151198815| input type: 2| time:1093 | latency: 21.074111938476562
Time quotient is: 0.7236631820941793| input type: 2| time:1149 | latency: 20.9862322807312
Time quotient is: 0.7499442676018024| input type: 2| time:1205 | latency: 21.74838376045227
Time quotient is: 0.7305702423227245| input type: 2| time:1261 | latency: 21.18653702735901
Time quotient is: 0.7252523981291672| input type: 2| time:1317 | latency: 21.03231954574585
Time quotient is: 0.7606412048997551| input type: 2| time:1374 | latency: 22.058594942092896
Time quotient is: 0.739288354742116| input type: 2| time:1430 | latency: 21.439362287521362
Time quotient is: 0.726982856618947| input type: 2| time:1486 | latency: 21.082502841949463
Time quotient is: 0.738614008344453| input type: 2| time:1543 | latency: 21.419806241989136
Time quotient is: 0.740998021487532| input type: 2| time:1599 | latency: 21.488942623138428
Time quotient is: 0.7238666600194471| input type: 2| time:1655 | latency: 20.992133140563965
Time quotient is: 0.7531957297489561| input type: 2| time:1712 | latency: 21.842676162719727
Time quotient is: 0.737844417835104| input type: 2| time:1768 | latency: 21.397488117218018
Time quotient is: 0.7447947222611| input type: 2| time:1824 | latency: 21.5990469455719
Time quotient is: 0.7204257537578714| input type: 2| time:1880 | latency: 20.89234685897827
Time quotient is: 0.7270826553476268| input type: 2| time:1936 | latency: 21.085397005081177
Time quotient is: 0.7715047227925268| input type: 2| time:1993 | latency: 22.373636960983276
Time quotient is: 0.7483000590883452| input type: 2| time:2049 | latency: 21.70070171356201
Time quotient is: 0.73809604809202| input type: 2| time:2105 | latency: 21.40478539466858
Time quotient is: 0.7486525979535333| input type: 2| time:2162 | latency: 21.710925340652466
Time quotient is: 0.7133006720707334| input type: 2| time:2217 | latency: 20.68571949005127
Time quotient is: 0.7432015682088917| input type: 2| time:2274 | latency: 21.55284547805786
Time quotient is: 0.7581318329120504| input type: 2| time:2330 | latency: 21.985823154449463
Time quotient is: 0.7367853131787531| input type: 2| time:2387 | latency: 21.366774082183838
Time quotient is: 0.7496731281280518| input type: 2| time:2444 | latency: 21.7405207157135
Time quotient is: 0.7316529586397368| input type: 2| time:2500 | latency: 21.217935800552368
Time quotient is: 0.761790341344373| input type: 2| time:2557 | latency: 22.091919898986816
Time quotient is: 0.7373345966996818| input type: 2| time:2613 | latency: 21.38270330429077
Time quotient is: 0.7697069562714676| input type: 2| time:2671 | latency: 22.32150173187256
Time quotient is: 0.7344996929168701| input type: 2| time:2727 | latency: 21.300491094589233
Time quotient is: 0.7229135694174931| input type: 2| time:2783 | latency: 20.9644935131073
Time quotient is: 0.7409208725238668| input type: 2| time:2839 | latency: 21.48670530319214
