Reward is: 6.88246796022762| input type: 2| time:78
Reward is: 7.03160006349737| input type: 2| time:150
Reward is: 7.2771188400008455| input type: 2| time:218
Reward is: 7.136171427640048| input type: 2| time:276
Reward is: 7.017989966002378| input type: 2| time:333
Reward is: 6.978476686911149| input type: 2| time:389
Reward is: 6.9322478717023674| input type: 2| time:444
Reward is: 6.550720978866924| input type: 2| time:501
Reward is: 6.715502912347967| input type: 2| time:561
Reward is: 6.53712968934666| input type: 2| time:617
Reward is: 7.006277214397084| input type: 2| time:674
Reward is: 6.907768861813979| input type: 2| time:729
Reward is: 6.5231430097059775| input type: 2| time:786
Reward is: 6.645175912163474| input type: 2| time:844
Reward is: 8.140086336569352| input type: 2| time:917
Reward is: -2| input type: 2| time:934
Reward is: 6.831620429862629| input type: 2| time:999
Reward is: 5.757630009000952| input type: 2| time:1068
Reward is: 5.549174793200059| input type: 2| time:1127
Reward is: 5.434090697765351| input type: 2| time:1183
Reward is: 5.847200558402322| input type: 2| time:1254
Reward is: 5.308047976586726| input type: 2| time:1326
Reward is: 5.916137702898546| input type: 2| time:1397
Reward is: 5.90910467451269| input type: 2| time:1468
Reward is: 5.461385409398512| input type: 2| time:1526
Reward is: 7.1053976308215745| input type: 2| time:1584
Reward is: 7.505306780338287| input type: 2| time:1654
Reward is: 7.514240909706462| input type: 2| time:1726
Reward is: 7.061514724384654| input type: 2| time:1783
Reward is: 6.59544881365516| input type: 2| time:1840
Reward is: 4.882735774733804| input type: 2| time:1898
Reward is: 5.0470373652198095| input type: 2| time:1956
Reward is: 4.347795025094763| input type: 2| time:2015
Reward is: 4.235894679249107| input type: 2| time:2071
Reward is: 3.8492995482502557| input type: 2| time:2128
Reward is: 7.004606051878495| input type: 2| time:2200
Reward is: 6.6122665567831564| input type: 2| time:2258
Reward is: 7.0991315191442315| input type: 2| time:2316
Reward is: 6.506361419504339| input type: 2| time:2373
Reward is: -2| input type: 2| time:2389
Reward is: -2| input type: 2| time:2393
Reward is: -2| input type: 2| time:2397
Reward is: 7.008138439872049| input type: 2| time:2441
Reward is: 6.584986767985605| input type: 2| time:2500
Reward is: 7.019357762553476| input type: 2| time:2557
Reward is: 7.006157652898269| input type: 2| time:2613
Reward is: 6.996431166475469| input type: 2| time:2669
Reward is: 7.092906453392722| input type: 2| time:2727
Reward is: 7.1226228909059| input type: 2| time:2785
Reward is: 6.716172034090215| input type: 2| time:2845
Reward is: 6.64119393717159| input type: 2| time:2904
Reward is: 7.112092294476248| input type: 2| time:2962
Reward is: 7.123108517039906| input type: 2| time:3021
Reward is: -5.42844746871428| input type: 2| time:3118
Reward is: 7.925390958786011| input type: 2| time:3195
Reward is: 7.7574040131135416| input type: 2| time:3270
Reward is: 8.103511067953978| input type: 2| time:3342
Reward is: 8.47664099931717| input type: 2| time:3398
Reward is: 7.932359261946244| input type: 2| time:3468
Reward is: 7.989043929360129| input type: 2| time:3539
Reward is: 7.932610463012349| input type: 2| time:3609
Reward is: 7.940589742227035| input type: 2| time:3679
Reward is: 7.943330130793832| input type: 2| time:3749
