Reward is: 8.2409350667681| input type: 2| time:89
Reward is: 7.6024092401777| input type: 2| time:154
Reward is: 8.092920739310129| input type: 2| time:219
Reward is: 7.672565140042986| input type: 2| time:284
Reward is: -2| input type: 2| time:300
Reward is: 8.113664851869856| input type: 2| time:353
Reward is: 7.985106543132237| input type: 2| time:416
Reward is: 7.74884432383946| input type: 2| time:483
Reward is: 8.10849575996399| input type: 2| time:547
Reward is: -2| input type: 2| time:564
Reward is: 8.151778234754289| input type: 2| time:617
Reward is: 8.126743037360056| input type: 2| time:682
Reward is: 8.203555025373186| input type: 2| time:748
Reward is: 8.139410890851702| input type: 2| time:813
Reward is: 7.479065847396851| input type: 2| time:870
Reward is: 7.50897604397365| input type: 2| time:928
Reward is: 8.03698103768485| input type: 2| time:991
Reward is: 8.277376692635672| input type: 2| time:1058
Reward is: 6.752447768620082| input type: 2| time:1126
Reward is: 6.657808480943952| input type: 2| time:1192
Reward is: 6.557992274420602| input type: 2| time:1257
Reward is: -2| input type: 2| time:1289
Reward is: -2| input type: 2| time:1296
Reward is: 7.681426136834281| input type: 2| time:1350
Reward is: 7.572684580939157| input type: 2| time:1414
Reward is: 7.75096800667899| input type: 2| time:1474
Reward is: 7.607941096169608| input type: 2| time:1533
Reward is: 7.675504847935268| input type: 2| time:1593
Reward is: 7.696138606752668| input type: 2| time:1653
Reward is: -2| input type: 2| time:1671
Reward is: 7.535576690946306| input type: 2| time:1717
Reward is: 9.180611508233206| input type: 2| time:1777
Reward is: 9.178293200901576| input type: 2| time:1837
Reward is: 7.534371055875505| input type: 2| time:1895
Reward is: -5.342804506846837| input type: 2| time:1976
Reward is: 6.995010941369193| input type: 2| time:2034
Reward is: 7.576436819349016| input type: 2| time:2093
Reward is: 8.17922523362296| input type: 2| time:2158
Reward is: 8.210632460457937| input type: 2| time:2224
Reward is: 8.067091648919241| input type: 2| time:2289
Reward is: 7.992787408828735| input type: 2| time:2352
Reward is: 7.126336104529244| input type: 2| time:2411
Reward is: 7.026842294420515| input type: 2| time:2469
Reward is: 8.126833997453963| input type: 2| time:2534
Reward is: 8.231211124147688| input type: 2| time:2601
Reward is: 6.687343597412109| input type: 2| time:2667
Reward is: 5.3078551701137| input type: 2| time:2724
Reward is: 5.249888127190726| input type: 2| time:2780
Reward is: 5.258829007829938| input type: 2| time:2836
Reward is: 6.993661764689854| input type: 2| time:2909
Reward is: 8.960783113752093| input type: 2| time:89
Reward is: 8.226507520675659| input type: 2| time:154
Reward is: 8.22739897455488| input type: 2| time:219
Reward is: 8.287992497852871| input type: 2| time:284
Reward is: -5.096780613490513| input type: 2| time:300
Reward is: -5.113597869873047| input type: 2| time:353
Reward is: -5.059920964922224| input type: 2| time:416
Reward is: -5.057570144108364| input type: 2| time:483
Reward is: 8.471502719606672| input type: 2| time:547
Reward is: -5.087155083247594| input type: 2| time:564
Reward is: -5.063706636428833| input type: 2| time:617
Reward is: -5.090822349275862| input type: 2| time:682
Reward is: -5.076857110432216| input type: 2| time:748
Reward is: -5.069165345600673| input type: 2| time:813
Reward is: -5.065509802954537| input type: 2| time:870
Reward is: -5.007097836903164| input type: 2| time:928
Reward is: -5.084163618087769| input type: 2| time:991
Reward is: -5.112103257860456| input type: 2| time:1058
Reward is: -5.019785785675049| input type: 2| time:1126
Reward is: 9.059300150190081| input type: 2| time:1192
Reward is: 9.109632246834892| input type: 2| time:1257
Reward is: 8.992023195539202| input type: 2| time:1289
Reward is: 8.996349000930786| input type: 2| time:1296
Reward is: 9.20167086465018| input type: 2| time:1350
Reward is: 8.97635999407087| input type: 2| time:1414
Reward is: 9.176723173686437| input type: 2| time:1474
Reward is: 9.033241626194545| input type: 2| time:1533
Reward is: 9.145397056852069| input type: 2| time:1593
Reward is: 9.102480568204607| input type: 2| time:1653
Reward is: 8.050086607251849| input type: 2| time:1671
Reward is: 9.140052318572998| input type: 2| time:1717
Reward is: 9.0984402520316| input type: 2| time:1777
Reward is: 9.162094865526472| input type: 2| time:1837
